,지점명,지점주소
437,CU 홍대한벗점,서울 마포구 와우산로23길 14 오즈빌딩 101
438,CU 사당남현점,서울 관악구 남현3길 62
439,CU 대치본점,서울 강남구 도곡로 443 1층
440,CU 서초법원로점,서울 서초구 법원로3길 23 1층
441,CU 한화빌딩점,서울 중구 세종대로 92
442,CU 목동한가람점,서울 양천구 목동동로 435
443,CU 양재강남점,서울 서초구 동산로19길 5
444,CU 신당백석점,서울 중구 다산로11길 19 백석빌딩신관１층
445,CU 마포우성점,서울 마포구 삼개로 35 우성아파트 상가 1층
446,CU 종로중앙점,서울 종로구 종로12길 7
447,CU 대치우일점,서울 강남구 선릉로 406 한협빌딩 101호
448,CU 매봉산점,서울 강남구 남부순환로377길 6
449,CU 화곡일등점,서울 강서구 화곡로27가길 2
450,CU 압구정역점,서울 강남구 압구정로30길 12 서원B
451,CU 강북인수점,서울 강북구 인수봉로 290
452,CU 고척리가점,서울 구로구 중앙로14길 23
453,CU 남대문YG타워점,서울 중구 세종대로5길 22
454,CU 도봉한신점,서울 도봉구 도봉로180나길 34 1층
455,CU 노원만중점,서울 노원구 노해로85길 10-55
