,지점명,지점주소
294,스타벅스 차병원사거리점,서울 강남구 봉은사로 213
295,스타벅스 중구저동점,서울 중구 수표로 34
296,스타벅스 올림픽대교북단,서울 광진구 광나루로 608
297,스타벅스 서울역서부점,서울 용산구 만리재로 202 풍림아이원 1층
298,스타벅스 신촌명물거리점,서울 서대문구 명물길 24 1~5층
299,스타벅스 외대정문점,서울 동대문구 이문로 93
300,스타벅스 명동길점,서울 중구 명동10길 41
301,스타벅스 국기원사거리점,서울 강남구 테헤란로 125
302,스타벅스 동대문두타점,서울 중구 장충단로 275
303,스타벅스 신림점,서울 관악구 신림로 355-1
304,스타벅스 역삼초교사거리점,서울 강남구 역삼로 123
305,스타벅스 은행사거리점,"서울 노원구 중계로 217 중흥빌딩 103,203호"
306,스타벅스 가산디지털점,서울 금천구 가산디지털1로 168 우림라이온스벨리 B동 1층
307,스타벅스 도산가로수길점,서울 강남구 도산대로 134 2층
308,스타벅스 남성역점,서울 동작구 사당로 219
309,스타벅스 방배로점,서울 서초구 방배로 52
310,스타벅스 을지병원사거리점,서울 강남구 논현로 752
311,스타벅스 이수자이점,서울 동작구 사당로 300
312,스타벅스 삼성교점,서울 강남구 영동대로86길 12 동남유화빌딩1층
313,스타벅스 서초역이화빌딩점,서울 서초구 반포대로21길 3
314,스타벅스 굽은다리역점,서울 강동구 양재대로 1568
315,스타벅스 압구정,서울 강남구 압구정로30길 17
316,스타벅스 서초구청점,서울 서초구 남부순환로 2557
317,스타벅스 경희대점,서울 동대문구 경희대로 16-1
318,스타벅스 자양사거리,서울 광진구 아차산로 355 타워 더 모스트 아크로텔 1층
319,스타벅스 서초우성사거리점,서울 서초구 강남대로 343
320,스타벅스 미아점,서울 성북구 동소문로 314
321,스타벅스 국회의사당역,서울 영등포구 의사당대로 8
322,스타벅스 현대디큐브2F점,서울 구로구 경인로 662
323,스타벅스 숙대점,서울 용산구 청파로47길 57 1~3층
324,스타벅스 남영동,서울 용산구 한강대로 275
325,스타벅스 종로관수점,서울 종로구 삼일대로20길 13
326,스타벅스 마포일진빌딩점,서울 마포구 마포대로 45 일진빌딩 1층
327,스타벅스 서울아트센터점,서울 서초구 남부순환로 2395 호경빌딩 1층
328,스타벅스 서울세관사거리점,서울 강남구 언주로 650 한국건설기술인협회
329,스타벅스 강남대로신사점,서울 서초구 강남대로 595
330,스타벅스 시청플러스점,서울 중구 을지로 19 삼성화재삼성빌딩 1층
331,스타벅스 남부터미널점,서울 서초구 서초중앙로 26 서초동 삼성 래미안 아파트 유니빌1층
332,스타벅스 하이브랜드점,서울 서초구 매헌로 16 하이브랜드 리빙관 101호
333,스타벅스 문화일보점,"서울 중구 새문안로 22 문화일보 1, 2층"
334,스타벅스 강남에비뉴점,서울 서초구 서초대로77길 62 강남역아이파크 1층 B102~B105호
335,스타벅스 청계산입구역,서울 서초구 청계산로 203
336,스타벅스 강남구청정문점,서울 강남구 학동로 419
337,스타벅스 잠실푸르지오월드점,서울 송파구 올림픽로35가길 9
338,스타벅스 천호이마트점,서울 강동구 천호대로 1015-14
339,스타벅스 발산역사거리점,서울 강서구 공항대로 248
340,스타벅스 묵동점,서울 중랑구 동일로 952 로프트원오피스텔 1층
341,스타벅스 명동입구점,서울 중구 남대문로 68-1
342,스타벅스 서강대점,서울 마포구 백범로 23 거구장컨벤션웨딩 1층
343,스타벅스 연세종합관점,서울 서대문구 연세로 50-1 연세세브란스 종합관
344,스타벅스 아크플레이스점,서울 강남구 테헤란로 142
345,스타벅스 센트럴F1점,서울 서초구 신반포로 176
346,스타벅스 마포경찰서후문점,서울 마포구 마포대로 173-14
347,스타벅스 구역삼사거리점,서울 강남구 논현로 401
348,스타벅스 주얼리시티점,서울 종로구 종로 183 주얼리시티 1층
349,스타벅스 연세세브란스점,서울 중구 통일로 10
350,스타벅스 명동중앙로점,서울 중구 명동길 60
351,스타벅스 월곡역점,서울 성북구 화랑로 76 1층 101-1호
352,스타벅스 르네상스사거리점,서울 강남구 테헤란로 306 카이트타워 1층
353,스타벅스 아크로힐스논현점,"서울 강남구 봉은사로 304 금강빌딩 1,2층"
354,스타벅스 금천구청역점,서울 금천구 시흥대로73길 67 엠타워 112~115호
355,스타벅스 샛강역점,서울 영등포구 여의대방로 376
356,스타벅스 삼성현대힐점,서울 강남구 삼성로 605
357,스타벅스 서울타워점,서울 용산구 남산공원길 105 YTN서울타워 1층
358,스타벅스 구로에이스점,서울 구로구 디지털로 285 에이스트윈타워1 103호
359,스타벅스 성대입구점,서울 종로구 창경궁로 235
360,스타벅스 대한상공회의소R점,서울 중구 세종대로 39
361,스타벅스 적선점,서울 종로구 새문안로5길 55 노스게이트빌딩 1층
362,스타벅스 역삼대로점,서울 강남구 테헤란로 211 한국고등교육재단빌딩1층
363,스타벅스 신압구정점,서울 강남구 언주로174길 29
364,스타벅스 청담영동대로점,서울 강남구 영동대로 720 원일빌딩 1층
365,스타벅스 독립문역점,서울 종로구 송월길 155
366,스타벅스 동대입구역점,서울 중구 장충단로 166
367,스타벅스 북촌로점,서울 종로구 북촌로4길 23 1층~3층
368,스타벅스 충무로역점,서울 중구 퇴계로 197 충무빌딩 1층
369,스타벅스 애오개역점,서울 마포구 마포대로 201
370,스타벅스 여의도화재보험점,서울 영등포구 국제금융로6길 38
371,스타벅스 강남우성점,서울 강남구 강남대로 328 강남역쉐르빌
372,스타벅스 구파발사거리점,서울 은평구 진관3로 21
373,스타벅스 서강대흥역점,서울 마포구 백범로 89
374,스타벅스 건국클래식,"서울 광진구 능동로 90 더클래식500 1층 C102,103호"
375,스타벅스 가양이마트점,서울 강서구 양천로 559 1층
376,스타벅스 가산에스케이점,서울 금천구 가산디지털1로 171
377,스타벅스 SSG마켓도곡R점,서울 강남구 언주로30길 57 타워팰리스 F동 지하1층
378,스타벅스 목동점,서울 양천구 목동서로 67
379,스타벅스 선릉로점,서울 강남구 선릉로93길 22 대흥빌딩 1층
380,스타벅스 당산대로점,서울 영등포구 양평로 22
381,스타벅스 이대ECC점,서울 서대문구 대현동 11-1 이화여자대학교 B415호
382,스타벅스 대치은마사거리점,서울 강남구 도곡로 457
383,스타벅스 소공로북창점,"서울 중구 세종대로18길 32 1층,2층"
384,스타벅스 종로관철점,서울 종로구 종로12길 21 2층
385,스타벅스 압구정미소점,서울 강남구 논현로 841 1층
386,스타벅스 동국대점,서울 중구 서애로1길 11
387,스타벅스 코엑스사거리점,서울 강남구 영동대로 616
388,스타벅스 을지로2가점,서울 중구 삼일대로 358
389,스타벅스 광교점,서울 종로구 청계천로 59
390,스타벅스 압구정로점,서울 강남구 압구정로42길 32 1층
391,스타벅스 삼성점,서울 강남구 테헤란로 443 애플트리타워 1층
392,스타벅스 한국프레스센터점,서울 중구 세종대로 124 한국프레스센터 1층
393,스타벅스 국회대로점,서울 영등포구 국회대로 786
394,스타벅스 외대점,서울 동대문구 휘경로 12-1
395,스타벅스 경희궁로점,서울 종로구 새문안로3길 15
396,스타벅스 도곡역점,서울 강남구 남부순환로 2909
397,스타벅스 상암YTN점,서울 마포구 상암산로 76 YTN뉴스퀘어 1층
398,스타벅스 건대스타시티,"서울 광진구 아차산로 272 1층 19,20,21호"
399,스타벅스 대치점,서울 강남구 도곡로 511
400,스타벅스 연대동문점,서울 서대문구 성산로 565 연세재단 Y빌딩
401,스타벅스 반포역점,서울 서초구 신반포로 257
402,스타벅스 서초동점,서울 서초구 남부순환로339길 64 현우빌딩1층
403,스타벅스 삼선교점,서울 성북구 동소문로 10 1~2층
404,스타벅스 경복궁사거리점,서울 종로구 율곡로 6 트윈트리타워 B동 101호
405,스타벅스 현대디큐브B2점,서울 구로구 경인로 662 지하2층
406,스타벅스 충정타워점,서울 서대문구 서소문로 21 충정타워 1층
407,스타벅스 은평이마트점,서울 은평구 은평로 111
408,스타벅스 용산파크타워점,서울 용산구 서빙고로 67
409,스타벅스 여의도의사당점,서울 영등포구 국회대로74길 12 남중빌딩 1층
410,스타벅스 논현힐탑점,서울 강남구 논현로 648
411,스타벅스 가든파이브점,서울 송파구 충민로 10 가든파이브툴
412,스타벅스 명동역점,서울 중구 퇴계로 101
413,스타벅스 올림픽훼미리점,서울 송파구 중대로 68 훼미리 샤르망 1층
